Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Frequency 42,Frequency 43,Frequency 44,Frequency 45,Frequency 46,Frequency 47,Frequency 48,Frequency 49,Abbreviations
Abdominal Cramps,Stomach,72,95,190,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA 
Abdominal Inflammation,Stomach,2720,2489,2170,1865,1800,1600,1550,880,832,802,787,776,727,660,465,450,444,440,428,380,146,125,95,72,20,1.2,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Abdominal Pain,Stomach,10000,3000,95,3,3040,522,440,160,124,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Abdominal Pain,Stomach,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Abscess Nocardia Asteroides,Respiratory,228,231,237,694,710,887,2890,11092.19,11096.87,17679.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Abscesses 2,Skin,2720,2170,1865,1550,880,802,787,727,500,444,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Abscesses 3,Skin,2720,2170,1865,1550,880,802,787,760,727,690,660,500,465,450,444,428,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Abscesses Secondary,Skin,1550,802,760,660,465,450,444,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Abscesses,Skin,2720,2170,880,787,727,500,200,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Absentmindedness,Brain,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Accelerate Healing,,7.83,',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Accelerate Injury Healing,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Accelerate Learning,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Accelerate Scar Healing,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acidosis,Blood Tissue,10000,880,802,787,776,727,146,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acne 1,Skin,2720,2170,1800,1600,1550,1552,1500,802,880,787,727,564=360,778,760,741,660,564=360,465,450,444,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acne 2,Skin,760,465,444,450,428,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acne Vulgaris Junior,Skin,514,832,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acne Vulgaris,Skin,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acne,Skin,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acne,Skin,50,370,830,2500,3000,73300,383750,387000,389000,393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Aconite,Immune System,3347,5611,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acrocephalosyndactylia,Bone Tissue,140,1220,2620,12720,125780,158330,351300,532410,613320,709800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acromegaly,Bone Tissue,80,420,770,7910,31210,122740,255610,371330,742800,955200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinobacillus,Respiratory,488,565,672,674,678,766,768,777,885,887,7877,9687,42664,42666,46668,46787,773,776,778,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Actinobacillus,Respiratory,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA 
Actinomyces Bovis,,1.10,20,73,160,220,465,660,690,727.5,787,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomyces Israelii 1,,46.5,727,766,776,787,802,880,1550,1600,1800,2489,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomyces Israelii 2,,20,23,222,262,465,488,567,727,747,787,2154,7880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomyces Israelii,,222,262,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Actinomyces Israelii,,262,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA 
