Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Abbreviations
Coeliacia,,594,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Coeliacia,,154,586,584,656,665,668,674,787,7958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cold 1,,5500,4400,802,787,727,720,552,440,400,125,72,800,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold 2,,652,725,746,751,768,1110,333,666,542,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold 3,,20,120,146,440,444,465,727,776,787,880,1500,1550,5000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold 4,,3176,2489,880=600,800=600,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold 5,,7728=600,4888=600,8238,2413,880,787,776,727,440,746,567,7880,787,300,310,1234,9999,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold 6,,352,412,450,660,683,688,727,766,768,770,772,774,776,778,780,787,802,880,975,1200,1234,1228,1550,1862,2400,2688,3672,3702,5000,7344,7660,,,,,,,,,,CAFL
Cold and Flu Basic,,959,962,8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cold and Flu General 1998,,250,465,7760,8210,8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold and Flu Winter 2001,,959,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cold and Flu,,250,465,8210,8700,7760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
