Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Frequency 42,Frequency 43,Frequency 44,Frequency 45,Frequency 46,Frequency 47,Frequency 48,Frequency 49,Abbreviations,
Dysentery,,230,970,5830,7250,17500,67500,234250,522530,655200,751870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Dyslexia Symptoms,,180,250,5610,18500,41500,126510,325810,472000,538100,614010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Dyslexia,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Dyslipidemias,,70,230,970,14030,32500,72910,135340,497500,675000,954370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Dysmenorrhea,Uterus,26,4.9,1550,880,802,787,727,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Dyspareunia,,150,180,930,2750,137530,263020,402500,571150,796530,825340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Dyspepsia 1,,727,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Dyspepsia,Stomach,10000,880,1550,832,800,787,727,465,444,20,125,95,72,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Dyspepsia,,80,120,17850,57710,122020,241400,485830,597540,725380,851170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Dyspnea,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Dysthymic Disorder,,160,550,1850,8500,27300,57500,72500,207500,412340,607000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Dystonia Osteitis,,2.64,20,660,690,724,727.5,736,743,770,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Dystonia Vegetative,,20,40,120,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Dystonia,,80,500,830,11700,58870,330210,417320,653020,822010,971320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
