Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Abbreviations
Fel Tauri,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Feli,,435,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Feli,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Feline Cat Immunodeficiency Virus FIV,,262,323,372,404,567,712,742,760,773,916,1103,1132,3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Feline Cat Leukemia 1,,258,332,414,424,544,741,743,830,901,918,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Feline Cat Leukemia 2,,424,830,901,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Felis,Cats,430,834,2232,3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fell,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Felon 1,,657,659,738,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Felon 2,,663,665,720,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Felon 3,,657,659,663,665,720,722,738,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Female Disorder,,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Femininity Inner (Male),,420.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fever 2,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fever 3,,20,422,660,690,727.5,787,800,832,880,2112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fever All Kinds,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fever Sunstroke,,20,440,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fever,,1552,880,800,832,422,2112,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fever,,120,230,830,5500,13930,12710,92500,376290,519340,652430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fibroadenoma Breast,,1384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibroadenoma Mamanae,Breast,1384,2128,2189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Fibroadenoma Mamanae,,1384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Fibroadenoma Mamanae,,1384,2128,2189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Fibrocystic Breast Disease,,40,250,970,9000,73890,123200,257510,302580,592490,875430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Fibrodysplasia OP,,230,1180,2260,13580,308490,425080,511750,608020,715830,822410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
