Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Abbreviations
Osteochondritis,,140,300,830,7500,128000,202430,340000,450000,575370,719340,,,,,,,,,,,,,,,,,,,,,,KHZ
Osteogenesis Imperfecta,,200,120,620,112500,230890,412500,615000,752500,802500,925520,,,,,,,,,,,,,,,,,,,,,,KHZ
Osteomalacia,,100,220,680,7250,39250,125370,220910,405370,593500,875520,,,,,,,,,,,,,,,,,,,,,,KHZ
Osteomyelitis,Bone,2720,2489,2170,2127,2008,1800,1600,1550,802,1500,880,832,787,776,727,690,666,,,,,,,,,,,,,,,CAFL
Osteomyelitis,,160,230,7730,72250,105290,207000,332500,547500,750000,875000,,,,,,,,,,,,,,,,,,,,,,KHZ
Osteomyelosclerosis,,79,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Osteonecrosis,,130,220,930,5500,17500,32500,72500,127000,356500,624370,,,,,,,,,,,,,,,,,,,,,,KHZ
Osteopetrosis,,50,460,950,7500,32500,50000,67500,125910,319340,855820,,,,,,,,,,,,,,,,,,,,,,KHZ
Osteoporosis,,30,240,700,1770,12330,27500,135520,550000,725290,875000,,,,,,,,,,,,,,,,,,,,,,KHZ
Osteosarcoma,,10,240,730,7900,67220,127500,317500,665520,831330,913500,,,,,,,,,,,,,,,,,,,,,,KHZ
Osteosinusitis Max,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Osteosinusitis Max,,243,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Ostomy,,50,400,730,900,5910,27000,210710,341500,546500,875470,,,,,,,,,,,,,,,,,,,,,,KHZ
Otitis Externa,Ear,727,787,880,174,482,5311,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Otitis Medinum,Ear,683,688,776,766,316,784,786,125,802,72,522,440,880=600,720=600,1550=600,,,,,,,,,,,,,,,,,CAFL
Otitis Medinum,Ear,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Otitis,Ear,100,520,780,800,2250,5260,167500,352520,845470,922530,,,,,,,,,,,,,,,,,,,,,,KHZ
Otorhinolaryngologic Disease,,170,520,680,830,2500,127500,235370,567500,792200,875470,,,,,,,,,,,,,,,,,,,,,,KHZ
Otosclerosis,Ear,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Otosclerosis,,80,250,900,2250,5750,30000,157500,305470,553500,850320,,,,,,,,,,,,,,,,,,,,,,KHZ
Ovarian Cyst,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Ovarian Cyst,Ovary,567,982,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Ovarian Cyst,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Ovarian Cysts,,60,400,830,5250,85470,132200,247500,530200,618200,880300,,,,,,,,,,,,,,,,,,,,,,KHZ
Ovarian Disorders General,Ovary,650,625,600,465,444,26,2720,2489,2170,2127,2008,1800,1600,1550,802,1500,880,832,787,776,727,690,666,20,,,,,,,,CAFL
Ovarian Elimination Stimulation,Ovary,20,800,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Overall Balance,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ovum,,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Ox Bile,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Oxygen,,5772,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Oxygenate Cells,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Oxygenation,,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ozaena,,184,222,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Ozone Generate,,78,16,15.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Paget's Disease Mammary,,80,490,680,7500,11090,17500,72500,215700,456500,517500,,,,,,,,,,,,,,,,,,,,,,KHZ
Paget's Disease of Bone,,80,490,680,9720,14500,17500,72500,215700,456500,517500,,,,,,,,,,,,,,,,,,,,,,XTRA
Pain Acute,,3000,95,10000,1550,802,880,787,727,690,666,,,,,,,,,,,,,,,,,,,,,,CAFL
Pain Back,,180,420,810,5180,21050,32330,205110,583090,612570,622380,,,,,,,,,,,,,,,,,,,,,,XTRA
Pain Control,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pain Decrease,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pain General,,3000,95,666,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pain of Cancer,,3000,95,2127,2008,727,690,666,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pain of Infection,,3000,95,880,1550,802,787,776,727,4.9,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pain Relief,,304,6000,3000,666,80,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pain Relief,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pain,,160,350,950,5260,27500,52500,225470,522530,682020,750000,,,,,,,,,,,,,,,,,,,,,,KHZ
Pain,,95,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Palladium,,18850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pallister-Killian Syndrome,,80,250,900,2250,5290,30000,57500,45370,96500,233630,,,,,,,,,,,,,,,,,,,,,,KHZ
Palsy Cerebral,,146,522,660,690,727.5,787,880,1000,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Palsy General,Brain,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pancreas 1,,14648.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreas 2,,440,464,600,624,648,727,787,880,1552,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreas 3,,117.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreas Balance 1,,1.19,250,654,660,690,727.5,2127.5,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreas Balance 2,,10,15,20,26,440,444,464,465,537,600,624,625,648,650,776,787,802,832,880,1500,1550,1552,1600,1800,1865,2008,2170,2489,2720,,,XTRA
Pancreas Disorder,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreas Fluke,,1850,2000,2003,2008,2013,2050,2080,6578,13135.94=1200,13156.25,20960.36,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreas Function Stimulate Normal,,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreas,Pancreas,440,464,600,624,648,1552,727,787,880,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pancreas,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreatic Diseases,,80,400,830,5470,105000,215470,417500,631000,801910,931220,,,,,,,,,,,,,,,,,,,,,,KHZ
Pancreatic Insufficiency 2,,20,26,444,465,600,625,650,666,690,727,776,787,832,880,1500,1550,1600,1800,2008,2127,2170,2489,2720,,,,,,,,,XTRA
Pancreatic Insufficiency 3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pancreatic Insufficiency,Pancreas,20,250,650,625,600,465,444,26,2720,2489,2170,2127,2008,1800,1600,1550,802,1500,880,832,787,776,727,690,666,20,,,,,,CAFL
Pancreatitis,,30,520,680,2750,7500,55910,324370,519340,653690,756530,,,,,,,,,,,,,,,,,,,,,,KHZ
Panniculitis,,80,490,650,7500,12850,17500,72500,226070,475470,527000,,,,,,,,,,,,,,,,,,,,,,KHZ
Pantothenate Kinase-Associated Neurodegeneration,,160,350,950,5870,27500,52500,225370,451170,517500,687620,,,,,,,,,,,,,,,,,,,,,,KHZ
Papilledema,,50,400,850,2500,13980,12710,95470,233910,426900,571000,,,,,,,,,,,,,,,,,,,,,,KHZ
Papilloma HPV 6a,,1130.09,2260.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Papilloma HPV 6b,,1145.5,2291.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Papilloma HPV 11,,1141.29,2282.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Papilloma HPV 16,,1145.2,2290.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Papilloma HPV 18,,1152.09,2304.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Papilloma HPV 33,,1144.5,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Papilloma Kidney,Kidney,110,148,264,634,767,848,917,760,762,1102,,,,,,,,,,,,,,,,,,,,,,CAFL
Papilloma,,40,320,570,850,5250,7250,50000,93500,300000,475470,,,,,,,,,,,,,,,,,,,,,,KHZ
Papillomavirus,,67265,64734,16970,9609,9258,5657,1051,1011,907,874,767,489,466,404,265,110,45,,,,,,,,,,,,,,,PROV
Papillomavirus Cyst,,6.29,110,148,264,634,760,762,767,848,874,907,917,1102,,,,,,,,,,,,,,,,,,,XTRA
Papillomavirus Infections,,50,320,600,850,12330,57260,152000,93500,315700,425370,,,,,,,,,,,,,,,,,,,,,,KHZ
Papillomavirus,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Paraceli,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Paradontose,,424,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Paradontose,,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Paraganglioma,,10,300,650,900,2500,57220,113930,293500,358570,479500,,,,,,,,,,,,,,,,,,,,,,KHZ
Paraganglioma,,40,300,650,900,2500,57220,113930,293500,358570,479500,,,,,,,,,,,,,,,,,,,,,,XTRA
Paragonimus Westermani Adult_1,,437800-454200=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Paragonimus Westermani Adult_2,,447000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Paralyses Familial Periodic,,50,120,870,3210,27500,62710,145470,262500,392500,591000,,,,,,,,,,,,,,,,,,,,,,KHZ
Paralysis from Stroke,Nerve,20,40,72,95,125,146,333,428,522,535.1,600,625,650,727,787,880,1800,1865,,,,,,,,,,,,,,CAFL
Paralysis Nonspastic,Nerve,10000,880,787,776,727,650,625,600,444,1865,125,95,72,20,9.19,8.25,,,,,,,,,,,,,,,,CAFL
Paralysis Spastic,Nerve,10000,880,787,776,727,650,625,600,444,1865,125,95,72,20,7.69,,,,,,,,,,,,,,,,,CAFL
Paralysis,,20,220,970,7500,22500,85370,155470,285000,416500,605410,,,,,,,,,,,,,,,,,,,,,,KHZ
Paramecium Caudatum,,4500,1150,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Paraneoplastic Syndromes Nervous System,,140,490,600,830,2250,17750,81080,95470,319340,533630,,,,,,,,,,,,,,,,,,,,,,KHZ
Paraphilias,,60,240,780,830,2500,10890,22500,124370,375000,515700,,,,,,,,,,,,,,,,,,,,,,KHZ
Paraproteinemias,,130,400,680,800,5260,72500,135470,296500,556720,879930,,,,,,,,,,,,,,,,,,,,,,KHZ
Parapsoriasis,,80,370,780,900,7520,10320,140000,232500,725470,925370,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Anaplasma Marginale 2nd,,680,900,2500,5500,13930,93500,383000,400000,415300,424000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Anaplasma Marginale,,680,900,2500,5500,13930,93500,386400,388000,387000,422000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Ancylostoma Braziliense Adult,,680,900,2500,5500,13930,122500,322600,397600,403250,401000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites and Amoebas 4,,1865,444,125,95,72,20,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Parasites Ascaris,,442,8146,751,1146,797,152,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Besnoitia Lung Sect.,,680,900,2500,13930,204510,337300,331000,352800,361400,358000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Blood Flukes,,329,419,635,847,5516,7391,9889,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Brain and Spinal Flukes,Nerve,421,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Capillaria Hepatica Liver Sect.,,680,900,2500,13930,204510,337300,331000,424250,430650,428000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Capillaria Hepatica,,1060.91,21308.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Chilomastix Cysts Rat,,2500,13930,204510,337300,388950,390700,389000,426000,425200,427300,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Chilomonas Whole Mount,,2500,13930,204510,337300,388950,390700,389000,393750,400000,398000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Clonorchis Sinensis 1,,1058.43,21259.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Clonorchis Sinensis 2,,680,900,2500,5500,13930,122500,322600,425700,428750,427000,,,,,,,,,,,,,,,,,,,,,,XTRA
