Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Abbreviations
Purpura Thrombocytopenic,,40,500,600,9070,73500,283500,502500,635000,805310,975900,,,,,,,,,,,,,,,,,,,KHZ
Purpura Thrombotic Thrombocytopenic,,50,500,1900,112870,312500,405500,652500,726070,802060,923200,,,,,,,,,,,,,,,,,,,KHZ
Purpura,,130,230,650,18200,57500,108020,305310,606300,719940,822530,,,,,,,,,,,,,,,,,,,KHZ
Pyelitis Proteus 2,,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pyelitis Proteus,Kidney,434,594,776,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pyelonephritis,,50,350,750,930,5250,7500,442500,793500,875690,951170,,,,,,,,,,,,,,,,,,,KHZ
Pyocyaneus,,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pyoderma Gangrenosum,,30,320,730,950,14000,75310,185000,310500,625310,971000,,,,,,,,,,,,,,,,,,,KHZ
Pyoderma Gangrenosum,,123,132,663,967,974,1489,1556,,,,,,,,,,,,,,,,,,,,,,XTRA
Pyoderma,Skin,123,132,967,974,1556,1489,663,,,,,,,,,,,,,,,,,,,,,,CAFL
Pyoderma,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Pyorrhea,Teeth,2720,2489,2008,1800,1600,1550,802,880,787,776,727,465,444,522,146,,,,,,,,,,,,,,CAFL
Pyorrhea,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pyrogenium 62,,151,429,594,622,872,497,498,,,,,,,,,,,,,,,,,,,,,,CAFL
Pyrogenium 62,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Pyrogenium Ex Ovo,,231,1244,1210,1216,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pyrogenium Fish,,287,304,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pyrogenium Mayo,,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pyrogenium Suits,,341,356,673,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Q Fever,,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Q Fever,,523,1357,607,129,632,943,1062,549,720,726,,,,,,,,,,,,,,,,,,,CAFL
Q Fever,,800,1120,9850,51710,75930,412020,385690,690000,812930,906420,,,,,,,,,,,,,,,,,,,KHZ
Q Fever,,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Quadriplegia,,150,460,950,5850,62500,107500,217500,496500,855720,915310,,,,,,,,,,,,,,,,,,,KHZ
Rabies,,547,793,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rabies,Viral,20,120,547,793,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rabies,,70,180,1650,7930,102530,165500,415000,693500,875310,915930,,,,,,,,,,,,,,,,,,,KHZ
Radiation Burns 2,,190,200,465,660,690,727.5,787,880,10000,,,,,,,,,,,,,,,,,,,,XTRA
Radiation Burns 3,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Radiation Detox,,250,500,2750,65350,105310,328210,357000,405150,424650,575200,,,,,,,,,,,,,,,,,,,XTRA
Radiation Remove All,,6,847,972,437,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Radiculopathy,,5,481,321,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ragweed,Allergies,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Ranula,,180,550,1000,7500,30000,42500,72500,95750,90000,519340,,,,,,,,,,,,,,,,,,,KHZ
Rat Bite Fever,,170,550,950,35120,85310,137500,562500,697500,722530,920000,,,,,,,,,,,,,,,,,,,KHZ
Raynaud's Disease,Fingers,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Raynaud's Disease,,70,500,970,9000,11090,131500,237500,415700,725000,825950,,,,,,,,,,,,,,,,,,,KHZ
Receptivity,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Reconstructive Surgical Procedures,,60,230,730,870,105720,237250,432500,526070,669710,819340,,,,,,,,,,,,,,,,,,,KHZ
Rectal Diseases,,190,520,570,800,2250,17500,30000,573200,665310,822300,,,,,,,,,,,,,,,,,,,KHZ
Rectal Prolapse,,130,230,750,850,51310,327250,495000,681500,791950,953000,,,,,,,,,,,,,,,,,,,KHZ
Red Blood Cell Production Normalize,,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Refetoff Syndrome,,190,15000,33000,97500,157800,332410,426900,571000,836000,932000,,,,,,,,,,,,,,,,,,,XTRA
Reflex Sympathetic Dystrophy,,90,520,650,930,5710,87500,255310,525290,675310,878500,,,,,,,,,,,,,,,,,,,KHZ
Refractive Errors,,30,240,700,15830,29750,187500,345950,592500,820110,923530,,,,,,,,,,,,,,,,,,,KHZ
Refractory Anemia,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Refsum Disease,,10,410,620,970,7500,20000,87500,342060,635310,834450,,,,,,,,,,,,,,,,,,,KHZ
Regeneration and Healing 1,,2720,2,20.5,3.9,4,50.5,6.3,148,7,,,,,,,,,,,,,,,,,,,,CAFL
Regeneration and Healing,,47,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Regeneration and Healing,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Reinke's Edema,,80,160,15500,85000,92000,357300,541000,657110,833200,987230,,,,,,,,,,,,,,,,,,,XTRA
Relapsing Fever,,80,570,900,5710,45200,152590,262500,695020,715730,819340,,,,,,,,,,,,,,,,,,,KHZ
Relationships 1,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Relationships 2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Relaxation Enhance,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Relaxation Induce,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Relaxation State Of,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Relaxation to Produce,,6000,10,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Relaxation/Mood/Sleep,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Renal Artery Obstruction,,70,550,850,7580,132600,347500,472500,597500,775950,925310,,,,,,,,,,,,,,,,,,,KHZ
Renal Calculi,,3.5,444,727,787,880,1552,3000,30000,6000,10000,,,,,,,,,,,,,,,,,,,CAFL
Renal Dialysis,,60,500,870,12850,27500,141590,301230,453020,783400,825030,,,,,,,,,,,,,,,,,,,KHZ
Renal Excretory Insufficiency Diastolic Hypertensive,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Renal Osteodystrophy,,40,550,780,970,5870,57050,152030,592500,602590,953720,,,,,,,,,,,,,,,,,,,KHZ
Reproductive System,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Reproductive,,335,536,622,712,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Reproductive,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Reptile Diseases,,160,570,650,870,2500,15750,232500,492500,826070,925950,,,,,,,,,,,,,,,,,,,KHZ
Respiratory Chain Deficiencies Mitochondrial,,160,350,930,2500,215610,355680,419340,651100,723030,868430,,,,,,,,,,,,,,,,,,,XTRA
Respiratory Diseases,,5,823,214,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Respiratory Distress Syndrome Newborn,,70,550,650,870,7500,16020,42010,190000,675290,826900,,,,,,,,,,,,,,,,,,,KHZ
Respiratory Failure Acute,,1,257,814,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Respiratory Hypersensitivity,,60,550,700,9870,74500,130000,240000,490000,675290,879500,,,,,,,,,,,,,,,,,,,KHZ
Respiratory Syncytial Virus Infections,,10,550,570,870,7500,50190,140000,390000,624370,819340,,,,,,,,,,,,,,,,,,,KHZ
Respiratory Syncytial Virus Infections,,40,550,570,870,7500,50190,140000,390000,624370,819340,,,,,,,,,,,,,,,,,,,XTRA
Respiratory Syncytial Virus,Respiratory,336,712,278,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Respiratory Syncytial Virus,,378950-383150=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Respiratory Tract Disease,,100,550,730,870,67200,172850,230000,533200,675950,875290,,,,,,,,,,,,,,,,,,,KHZ
Restless Legs Syndrome,,160,570,7780,23970,125950,327500,422500,590000,715700,836420,,,,,,,,,,,,,,,,,,,KHZ
Retardation Mental,,140,230,410,2370,4050,19500,175000,376300,407600,513060,,,,,,,,,,,,,,,,,,,XTRA
Retinal Detachment,,80,460,1000,7500,217500,327500,452500,665750,796500,834250,,,,,,,,,,,,,,,,,,,KHZ
Retinal Diseases,,70,500,1000,7500,17500,127500,335290,565750,725950,919340,,,,,,,,,,,,,,,,,,,KHZ
Retinitis Pigmentosa,,70,500,1000,7500,17500,127500,335290,525150,705220,813670,,,,,,,,,,,,,,,,,,,KHZ
Retinoblastoma,,550,680,870,7500,13610,40000,90000,375950,575310,827000,,,,,,,,,,,,,,,,,,,KHZ
Retinopathy of Prematurity,,160,570,780,950,8500,95690,217520,491000,524370,892410,,,,,,,,,,,,,,,,,,,KHZ
Retinoschisis,,40,120,950,13390,13930,50000,165800,493200,722700,905310,,,,,,,,,,,,,,,,,,,KHZ
Retroperitoneal Fibrosis,,70,460,650,112950,295870,347500,427500,695280,750000,875950,,,,,,,,,,,,,,,,,,,KHZ
Retropharyngeal Abscess,,120,250,620,2500,3000,315750,425280,697500,869710,925280,,,,,,,,,,,,,,,,,,,KHZ
Retrovirus Variants,,2489,465,727,787,880,448,800,10000,,,,,,,,,,,,,,,,,,,,,CAFL
Rett Syndrome,,130,230,620,9970,167500,325500,422500,650000,875950,919340,,,,,,,,,,,,,,,,,,,KHZ
Reye Syndrome,,40,120,950,13020,172500,259000,365080,591000,710500,835280,,,,,,,,,,,,,,,,,,,KHZ
Rhabdoid Tumor,,70,460,650,950,51250,147500,277500,395750,633910,845280,,,,,,,,,,,,,,,,,,,KHZ
Rhabdomyolysis,,70,180,730,34210,205690,317250,412500,692500,776950,838250,,,,,,,,,,,,,,,,,,,KHZ
Rhabdomyosarcoma,,120,270,9330,34210,205690,317250,412500,692500,776950,838250,,,,,,,,,,,,,,,,,,,KHZ
Rhesus Gravidatum,,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Rhesus Gravidatum,,312,322,536,684,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rhesus Gravidatum,,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rheuma Special,,1744,952,333,376,436,595,775,,,,,,,,,,,,,,,,,,,,,,XTRA
Rheuma,,952,436,595,775,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Rheuma,,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Rheumatic Disease,,130,230,620,950,7500,68500,232500,551100,779230,839430,,,,,,,,,,,,,,,,,,,KHZ
Rheumatic Fever,,130,250,620,950,7500,72500,232500,551100,779230,839430,,,,,,,,,,,,,,,,,,,KHZ
